questions,types
"Which Withdrawn has a Previous Class of j69, and a Previous Number(s) smaller than 68532, and a Converted larger than 1959?",0
What is the average latitude for townships in Dickey county with water under 2.106 sqmi and population under 95?,5
What is the highest GEO ID for land masses over 38.117 sq mi and over 2.065 sq mi of water?,1
What is the number of GEO IDs for areas in Riggin township with water area over 0.587 sq mi and ANSI codes over 1759257?,3
What is the least lane number that Natalie Coughlin was in when she was ranked greater than 1?,2
"What total has a position smaller than 4, a B score higher than 9.125, and an A score less than 6.6?",5
What is the highest bronze for less than 2 total trophies?,1
"Which Total has a Finish of t64, and a Year won larger than 2006?",0
"Which year won has a Finish of t24, and a Country of england?",0
"What is the smallest bronze value for countries with totals over 2, golds of 0, silvers under 1, and ranks over 10?",0
What is the average year joined of the 277 county?,5
What is the highest year for the Bethesda Game Studios Developer?,1
What is the lowest year for the game called The Elder Scrolls v: Skyrim?,2
What is the average year that the medical school in dominican republic was established?,5
What are the most wins with byes more than 0 and 1637 against?,1
What are the total byes for the Red Cliffs with more than 4 losses and more than 2422 against?,3
What's the total wins for Wentworth with less than 0 byes?,3
What is the number of attendance values for ties having an opponent of Middlesbrough and result of 3-1?,3
What is the average rank of a player with fewer than 3 matches?,5
What is the Opponents in the game with a Date of nov. 25?,0
"What is the lowest number of goals joe keenan, who has more than 1 assists, had in 2007/08?",2
What is the lowest number of goals of the player with 9 (0) games and less than 0 assists?,2
"When the nationality is united states, and the time is 58.06, and the heat is larger than 5 what is the lowest rank?",2
"What is the highest rank when the lane is larger than 6, and the heat is 3, and the nationality is colombia?",1
What is the total lane for a heat larger than 7?,3
"What is the highest heat when the nationality is poland, and the lane is smaller than 6?",1
Which Lead Pitch/mm has a Body Width/mm larger than 10.16?,0
"How much Body Width/mm has a Part Number of tsop40/44, and a Body Length/mm smaller than 18.42?",4
Which Lead Pitch/mm has a Part Number of tsop24/28?,0
What is the highest amount of silver when gold is 1 and bronze larger than 0?,1
What is the Time of the Athlete with a Reaction time of 0.164?,0
What is the Time of the Athlete in Lane 4?,0
What is the Lane of the Athlete from Great Britain with a Reaction time of less than 0.218 and a Time larger than 44.74?,0
"What is the week with attendance of 73,572?",0
What week was the opponent the San Diego Chargers?,0
What week was the result of l 38–21?,0
What's the total of Rank for the County of Galway and has a Total that's larger than 13?,4
"What's the highest Rank for the County of Offaly, the Player of Mark Corrigan, and the Total that is smaller than 8?",1
"What's the smallest react of Zimbabwe, ranked after 1 in a lane after 3 and a time less than 20.3?",2
What is the total number of white (Hispanic/Non-Hispanic) having a black (Hispanic/Non-Hispanic) of 9.9 and Hispanic under 99.5?,3
"What is the average black value (Hispanic/Non-Hispanic) having a white (Hispanic/Non-Hispanic) under 61.9, Multiracial (Hispanic/Non-Hispanic) under 12.5 and Hispanic under 99.4?",5
What is the highest Amerindian (Hispanic/Non-Hispanic) value having a Black (Hispanic/Non-Hispanic) of 15.7 and White (Hispanic/Non-Hispanic) over 69.5?,1
What is the highest enrollment in Lagrange where the mascot is panthers?,1
What is the enrollment at the school of Hamilton community?,0
"What is the total in 2000–2012, with more than 2 silver, 0 Bronze, and a Rank smaller than 70?",0
What's the average Round of Pete Laframboise?,5
What is the total number of bronze medals for the team with more than 4 silver and less than 30 gold medals?,3
what is the least penalty points when the judge e is 72.22?,2
How many FA cup goals did dick taylor score in the year that he had 0 league goals?,3
What is the goals number of goals for the player who had 2 league cup apps and 0 FA cup goals?,0
What is Lisbeth Trickett's time?,0
What is the average rank for 57.05 time?,5
What lane is from Great Britain and a 57.78 time?,0
what is the total number of electorates (2009) when the name is govindpura?,3
What is the rank of Si Sa Ket province with less than 14 bronze medals?,3
How many total medals does rank 3 with less than 40 silver medals?,3
How many average gold medals for provinces higher than rank 9 with 25 bronzes?,5
What is the total number of episodes for クロサギ?,3
"Which Score-Final has a Rank-Final of 2, and a Year smaller than 2008?",0
"How many years have a Rank-Final smaller than 7, and a Competition Description of olympic games, and a Score-Final smaller than 186.525?",4
Which Score-Final has an Apparatus of floor exercise?,0
"Which Year is the first one that has an Apparatus of uneven bars, and a Rank-Final smaller than 3?",0
What the round with the time 1:15?,0
"What is the A score for the person with a total less than 15.95, position less than 7, and B score more than 8.225?",0
What is the B score for the person with a total of 16.325 and an A score of more than 7.3?,0
What is the Position of the person with a total less than 16.65 and an A score of 7.4?,0
What are the highest points with 2012 as the year?,1
"What are the highest matches that have points less than 88, and goals less than 0?",1
How many tries have goals greater than 0?,3
"What are the lowest points with 2013 as the year, and goals less than 0?",2
"How many goals have 28 as the points, and matches greater than 11?",3
"Which Laps have a Rider of russell holland, and a Grid smaller than 10?",0
"Which Laps have a Bike of kawasaki zx-6r, and a Time of +26.891?",0
What's the draw that's played less than 36 and has 42 points?,0
What the lost that has less than 10 points and less than 38 goals scored?,0
what the most lost for Alianza with a draw less than 6?,1
What the lost in place less than 3 and having more than 63 goals scored?,1
"What is listed as the highest Nominal GDP World Bank, 2009 (million USD) that has a GDP per capita World Bank, 2009 nominal (USD) of 14267?",4
What is the total Rank for ümit karan when Apps is more than 39 and Rate is more than 0.58?,4
"When rank is more than 10, what is the total rate?",0
What is the least clock speed (MHz) with January 1986 as introduced?,2
"With April 1986 as the introduced, what is the least clock speed (MHz)?",2
What is the rank for the team that had a time of 6:41.45 and note FA?,0
What rank was the team from Australia?,0
What is the highest game that has July 31 as the date?,1
"What is the total of the River Mile in Greenup, Kentucky?",4
What is the highest River Mile that has a pool length of 42.2 miles or a lock/lift drop of 21 feet?,1
What is the lowest ranking for 8:13.67?,2
What is the total rank and fc notes from South Africa?,3
"What was the latitude for van meter who had a land(sqmi) larger than 35.747, Water(sqmi) of 0 and a GEO ID smaller than 3809981860?",0
"What was the population fo the township with a Latitude of 48.853051, and a Water (sqmi) smaller than 0.9590000000000001?",3
"Van Meter has a water(sqmi) of 0 and a longitude larger than -98.444062, what was their highest ANSI code?",1
What was the lowest water(sqmi) in the county of dickey where the longitude was smaller than -98.444062?,2
How many points does mia martini have?,3
What is the average number of bronze medals won by Poland?,5
What is the average number of gold medals Switzerland received when they ranked larger than 1st and received fewer than 10 bronze medals and more than 1 silver medal?,5
What is the rank when the col is larger than 0?,3
"What is the rank when the elevation is 1,628, and Col (m) is larger than 0?",0
"What is the elevation of Vanuatu, when the rank is smaller than 3?",0
"What is the average number of losses when there are more than 4 wins, and the against matches is more than 1728?",5
"What is the total number of draws when there is 1 Win, and less than 1728 against matches?",3
What is the highest number of wins when there are less than 2 losses?,1
What is the highest number of losses for the Cobden club when there is less than 1 win?,1
"What is the average number of wins for the Terang Club, when there are less than 0 draws?",5
"In what Year is the Location of the Festival Koror, Palau?",4
"How many counties have people before profit as the party, and a borough greater than 0?",3
"How many counties have 2 as the total, 0 as the city with a town less than 1?",3
"What average city has a total less than 2, with a borough greater than 0?",5
What is the rank # of the swimmer in Lane 5?,0
what is the year when the score is 59-32?,0
How many wins are there when the draws are less than 0?,3
What are the most losses when there are 5 wins and draws less than 0?,1
What are the most wins of Terang with the draws less than 0?,1
What is the lowest against when the draws are more than 0 and the losses are less than 3?,2
What are the least losses of Warrnambool with more than 6 wins and less than 630 against?,2
What are the draws of Cobden when there are more than 3 losses?,0
"What average bronze has 0 as the silver, 17 as the rank, and a gold less than 1?",5
"What is the lowest silver that has 2 as the bronze, with a total greater than 4?",2
"How many bronzes have a total less than 11, with 11 as the rank, and a gold less than 1?",3
What was the lowest draw for Beathoven when the place was smaller than 16?,2
"Which Points have Drawn of 1, and a Played larger than 14?",0
"Which Position has Drawn larger than 1, and a Played smaller than 14?",0
"Which Lost has Drawn larger than 1, and a Played larger than 14?",0
"How much Lost has Points larger than 15, and a Name of ev pegnitz?",4
how many times is the player jim furyk?,3
What is the lowest lane in which an athlete got a time larger than 20.75 and a react smaller than 0.166?,2
What is Christian Malcolm´s highest react when his time was below 20.58?,0
How many bronze medals for Romania when the silver count is more than 1?,5
What is the highest place of a song by Henri Dès that has fewer than 8 points?,1
"What is the total point value when there are less than 12 draws, the rank is less than 17, and Philipp Kirkorov is the artist?",3
"What is the total ranking when there are less than 16 draws, less than 1 point, and the English translation is in love with you?",3
"What is the highest draw number when there are more than 31 points, a rank greater than 6, and the English translation is listen to me?",1
What was the population of Green County?,3
What's the date for Details of 1000 copies?,0
What is the average expenditures on R&D for Croatia after 2007?,5
What is the lowest expenditures on R&D for Poland after 2011?,2
How much Year Left has a Location of howe?,4
What rank is Vaud with the lowest point is Lake Geneva?,0
Wich rank is given to the Canton of Schaffhausen?,0
"What is the latest year when Neal Baer was a nominee, and the result was nominated?",1
That is the total year that Neal Baer is a nominee?,4
"What is the number of AIDS Orphans as % of Orphans when the Double (AIDS Related) number is 41,000, and the Paternal (Total) is larger than 442,000?",3
"What is the Total Orphans number when the number of Total Orphans (AIDS Related) is < 100, and the Maternal (Total) is smaller than 31,000?",3
How many clubs are involved when the clubs remaining are 2?,3
What is the number of clubs remaining in the second round?,3
How many clubs are involved when there are 4 winners from the previous rounds and more than 4 clubs remaining?,3
"What year had Nintendo EAD, Monolith Soft as developers?",0
What year did the team from City of Aurora join?,0
What was the total enrollment 08-09 of Franklin County?,3
What is the rank of the team with a time of 1:00.61?,0
What's the lane with a time of 1:00.66?,0
"What is the average goals when the last appearance was before 1984, there were more than 17 appearances, the first appearance was before 1961 and the position was mf?",5
What is the total time of the athlete from Canada with a lane less than 8 and a rank less than 8?,3
What is the total react number with a time less than 20.05 and a lane less than 6?,3
"What is the average react of bryan barnett, who has a lane less than 2?",5
What is the place when less than 1 point is scored?,5
What is the highest draw number when 23 points are scored?,1
What is the lowest heat that had a time of 1:02.85 in a lane larger than 7?,2
What is the sum of the lanes before heat 7 that elizabeth simmonds swam?,4
What's the year that has a Baden Freiburger FC?,0
"What is the lane with a time of 1:56.64, and a tank smaller than 7?",0
"What is the most silver won by the country with more than 1 gold, 3 bronze, ranked 1, and less than 12 as the total?",1
What is the most silver won by Norway?,1
What is the lowest round that has kazushi sakuraba as the opponent?,2
"Japan (JPN) with a total of less than 5, has what average gold medals?",5
"What is the average bronze medal when gold is greater than 0, and there is less than 0 silver medals?",5
"What is the sum of bronze medals when the rank is greater than 2, and less than 2 total medals with silver medals being more than 0?",3
"With a greater than 4 rank, and the silver medal greater than 0, and the bronze medal less than 1, what is the average total?",5
What is the fewest gold medals when the bronze medals is greater than 5?,2
What is the highest pick when the college is saginaw valley state?,1
"What is the altitude (meters) is associated with the Name Mount Launoit, with the range as Belgica Mountains?",0
"What is the Altitude (meters) associated with a rank smaller than 10, and the range Mühlig-Hofmann Mountains?",0
"What's the total with silver being less than 0, less than 1 gold, and 3 bronze?",4
What's Sara Isakovič's lane number that had a heat of 3?,0
What's the heat that was timed 2:08.54?,0
What is the lowest league cup goals for the entry with fa cup goals greater than 0 and FA cup apps larger than 2?,2
What is the sum of league cup appearances for the players with FA cup goals larger than 0 and FA cup appearances less than 2?,4
"What is the highest league cup appearances for the player with league cup goals of 0, and FA cup appearances of 2, and 4 league goals?",1
"What is the total number for the position that has less than 2 draws, less than 9 losses and more than 24?",3
"What is the highest played with more than 0 draws, less than 3 losses, and less than 27 points?",1
What is the total number played with 8 points and a position more than 6?,3
"What is the total number played with 1 drawn, and less than 7 points?",3
What is the most silver when bronze is more than 1 and total is more than 48?,1
what is the most bronze when the total is 9?,1
what is the least bronze when the nation is soviet union and the total is less than 11?,2
What is the long figure when gain is less than 0?,0
"What is the loss when the average/gain is less than 16.7, gain is 104 and long is larger than 4?",0
What is the highest rank for a 6:52.70 time and notes of sa/b?,1
What is the lowest rank that has paul biedermann as the name?,2
What is the highest lane that has nimrod shapira bar-or as the name?,1
What is the latest year they were nominated?,1
"Which Drawn has a Position smaller than 8, and a Played smaller than 14?",0
"Which Points have a Drawn smaller than 2, and a Lost of 12, and a Name of ev bad wörishofen?",0
Which Draw had 8 Televote Points?,0
"What is the highest rank with the notes of sa/b, and a time of 6:39.07?",1
"What is the highest number of losses for Presidente Hayes, when the draws were more than 4?",1
"What is the number of wins when position was larger than 6, and conceded was smaller than 19?",3
"What is the number of wins when scored was less than 26, and conceded was larger than 23?",3
What was the lowest amount of wins before season 2009 for 97 points?,2
How many wins had a podium larger than 6 after season 2008?,3
"what is the lowest week when the attendance is 54,714?",2
"Which Rank has a Reaction of 0.198, and a Time smaller than 46.3?",0
Which Lane has a Time larger than 47.83?,0
"Which Reaction has a Rank smaller than 4, and a Nationality of trinidad and tobago, and a Time larger than 45.13?",0
"Count the Rank-Final which has a Year larger than 2008, and an Apparatus of balance beam, and a Rank-Qualifying larger than 4?",3
Which the lowest Score-Fina has a Rank-Final of 7 and a Year larger than 2009?,2
"Name the Year with a Rank-Final smaller than 2, an Apparatus of team, and a Score-Qualifying smaller than 248.275?",0
"What is the Rank of the game with an Attendance of 93,039?",0
What is the average year in which the finish position was 13th?,5
What is the average year for the Olympic Games?,5
Which Commenced operations have an Airline of valuair?,0
How many Viewers have a Rank smaller than 2?,4
"What is the longitude for the Township that has a ANSI code less than 1036534, a water (sqmi) of 0, and a GEO ID greater than 3809959540?",0
What is the population in 2010 for the longitude of -97.578927?,3
What is the total population in 2010 for the township located in Mountrail which has land less than 34.424 sq miles and a GEO ID less than 3806159940?,4
What is the highest recorded latitude for the township that has an ANSI code greater than 1759541 and a population in 2010 of 72?,1
"How many Lanes have a Time larger than 13.59, and a Rank larger than 8?",3
"How many lanes have a Nationality of france, and a Rank larger than 8?",3
What is the average year having a rank among provinces over 5 and ten-year percentage change of 67.3?,5
What is the highest population for the province having a rank under 5?,1
What is the number of population values having a rank among provinces under 5 with a five-year percentage change of 3.6?,3
What is the highest year having a ten-year percentage change of 7.9?,1
What lane has a time of 1:57.71?,0
"Which Crude death rate (per 1000) has Deaths of 768, and a Crude birth rate (per 1000) smaller than 29.7?",0
"Which Attendance has an Opponent of perth glory, and a Round of 9?",0
What is the lowest rank of rider darren gilpin?,2
What is the highest rank of rider colin martin?,1
What is the total number of places for a song with a draw of 21 and more than 36 points?,3
What is the lowest numbered game against Phoenix with a record of 29-17?,2
What is the average year for a Saar of FK Pirmasens and Hessen of Wormatia Worms?,5
"What is the smallest year for a Main of Eintracht Frankfurt, Rhein of Waldhof Mannheim, Sarr of FK Pirmasens, and Hessen of Wormatia Worms?",2
What is the lowest time for Paulo Villar in lane 9?,2
How many Gold medals did Puerto Rico receive with 1 Silver and a Total of 1 or less?,3
What is the Total number of medals for the Nation with 7 or less Bronze medals and 1 Silver medal with a Rank of 9 or larger?,2
How many Silver medals did the Nation with 10 or more Bronze receive?,2
what is the average wins when draws is less than 0?,5
what is the average losses when the club is warrnambool and wins is less than 12?,5
what is the most losses when the club is terang and draws is less than 0?,1
"What is the sum of losses when wins is more than 6, club is camperdown and against is more than 1238?",4
How many cable channels have callsign CBFT-DT?,3
What is the lowest Digital PSIP for channels over 29 with callsign CFTU-DT?,2
What is the rank for the person with time 11.14?,0
"What is the rank when time is 11.15 and lane is bigger than 7 with notes Q, PB?",0
"What is the lane for notes Q, SB and time less than 11.22?",0
"What is the lowest played when draws P.K. Wins / P.K. Losses is 3/0, and points is larger than 18?",2
How many lanes does Australia have with a reaction smaller than 0.138?,3
What is the time with fewer than 5 lanes for the United States?,0
What is the total number of losses with less than 6 wins and less than 0 draws?,3
"What is the average number of against with less than 10 losses, more than 0 draws, and more than 7 wins?",5
What is the total number of byes with more than 0 losses and 1526 against?,3
What is the lowest number of draws with more than 2 byes?,2
"What is the lowest against of the wimmera fl warrack eagles, which have less than 16 wins?",2
How many races did the German racer that won less than 10 races ride?,3
"What is the average win as a percentage of German racer Rudi Altig, who has ridden in over 79 races?",5
what is the highest top-5 when cuts made is more than 39?,1
what is the highest events when wins is more than 0 and cuts made is more than 14?,1
what is the highest top-5 when wins is more than 1?,1
How many times is the tournament the masters tournament and the top-10 is less than 2?,3
"What is the lowest laps that has an on lap less than 4, with 35 as a class pos.?",2
what is the highest runners when the jockey is frankie dettori and the placing is higher than 1?,1
"What is the total number of laps for a team of team player's, and has a grid of 9, and points larger than 10?",3
"What is the lowest points for a time/retired of +30.7 secs, and laps smaller than 165?",2
What is the lowest number of matches that has a Clubs of 46 → 32?,2
What is the highest number of matches that has a round of Third Round?,1
"Which Against has Wins of 11, and Losses smaller than 7?",0
Which Byes have Losses smaller than 4?,0
"What's the total draws when the losses are less than 10, less than 2 byes, and 13 wins?",3
What's the total draws for Ararat when the byes are less than 2?,3
What's the total losses when there are 8 wins and less than 2 byes?,3
What's the least losses for Horsham Saints with more than 13 wins and less than 1211 against?,2
What are the draws when the losses are less than 1?,0
What are the amount of wins when the draws are less than 0 and the against is 1348?,4
What was the total city area for vehari city with a serial number bigger than 36?,3
What was the lowest city population for the district of rajanpur district with a area of 6 km squared and a serial number less than 29?,2
What is the sum of the serial numbers for narowal city?,4
"What is the sum of the area for the bahawalnagar district with a population more than 134,936?",4
"After pick number 158, what is the next round a USC player was picked?",0
What is the sum of bronzes for teams with more than 0 silver and a total under 1?,4
"What is the average number of golds for teams with 1 bronze, less than 3 silver, and a total over 2?",5
Which Against has a Round of fourth round?,0
"What is the average quantity for coaches manufactured in 1921/23, and had 40 seats?",5
What is the smallest quantity having a Class to 1928 of BDi-21?,2
"Which B Score has a Total larger than 15.325, and an A Score smaller than 6.4?",0
"Which Total has an A Score of 6.5, and a Position larger than 5?",2
What is the latest week when the chicago bears are the opponent?,1
What's the total starts with more points than 1 and the driver is Nasser Al-Attiyah?,3
What's the smallest number of podiums having more than 6 starts and 5 finishes?,2
"What's the number of stage wins for Federico Villagra having more than 1 finish, less than 8 starts and less than 1 podium?",3
What's the finishes for Lambros Athanassoulas having 0 podiums and 0 stage wins?,0
What is the average number of electorates (2003) reserved for sc with a constituency number of 50?,5
Which Finals have a Pre-Season larger than 0?,2
How much A-League has a Pre-Season larger than 0?,4
What is the lowest rank for Chris Brown with react greater than 0.244?,2
What is the highest rank of an athlete from Belgium with react greater than 0.162?,1
"What is the average number of partners for the firm with a rank under 71, other over 77, and largest city of Philadelphia?",5
"What is the smallest rank for the city having partners of 342, other under 147, and largest city of Cleveland?",2
What's the 2008 that has 3.4 in 2009 and more than 2.9 in 2005?,0
What's the 2006 if there's less than 6.7 in 2007 and less than 3.4 in 2009?,0
"What's the total in 2005 if there's more than 10.2 in 2006, less than 29.5 in 2007, more than 4.9 in 2009 and less than 43.8 in 2010?",3
What is the 2009 when there's 11.8 in 2005 and less than 12.6 in 2006?,0
What's the 2005 of TV3 when there is less than 42 in 2007 and less than 29.5 in 2010?,0
How much Enrollment has a School of indianapolis tindley?,4
How many Total Goals values have 0 League Cup Goals?,3
"What is the smallest number of FA Cup Goals for players with 4 FA Cup Appearances, 49 Total Appearances, and more than 17 total goals?",2
What is the average number of League Goals for palyers with 0 FA Cup Goals?,5
what is the highest silver when the total is 4 and bronze is less than 1?,1
"what is the gold when the bronze is 1, total is 6 and silver is less than 3?",0
"What is total number of height of province, with community of com. dom. lto. America?",3
What is the average attendance for games against the Pittsburgh Steelers when the opponents scored more than 0 points?,5
What is the Attendance of Game 24?,0
What is the average amount of points larger than 154 laps?,5
What is the lowest win % with a 0-2 record and more than 2 apps?,2
What is the lowest apps for rank 3 and 0% wins?,2
"In week 7, what was the average attendance?",5
"What is the number of silver when bronze is 0, and rank is less than 2?",4
"What is the silver when the Total is 1, and Gold is 1?",0
What is the number of silver when the total is less than 1?,3
What is the largest silver number when the rank is smaller than 1?,1
What is the number of bronze when the total is smaller than 1?,3
"What is the highest number of bronze when silver is larger than 0, rank is larger than 3?",1
What is the lowest number of silvers for countries in rank 12 with more than 0 bronze?,2
What is the most number of silvers for teams in rank 5 with more than 6 total medals?,1
What is the fewest number of golds for teams with a total of 3 and fewer than 2 silvers?,2
What's the number of wins when the flags were less than 8 and 52.11% of wins?,3
What's the most flags that had 473 wins and less than 633 losses?,1
What are the losses of Warrnambool with a draw less than 19?,0
How many gold medals for Bulgaria (BUL) with 2 silvers and a less than 18 rank?,3
What's the most bronze medals for Great Britain (GBR) with more than 1 silver and ranked more than 6?,1
What's the total silver medals having less than 2 gold and 2 bronze?,3
what is the lowest vuelta wins when the rank is 19 and combo is more than 0?,2
How many times is the country ireland and points more than 4?,3
What average year has international meeting & national championships as the tournament?,5
"What is the lowest year that has hypo-meeting as the tournament, with 8002 as the points?",2
"What's the population that has a median family income of $50,553?",3
What is the highest rank for the team of egypt?,1
What year was the developer(s) Bioware?,0
"What is the total for Danny Pinheiro Rodrigues ( fra ), in a Position smaller than 7?",3
"What is the total for Chen Yibing ( chn ), when his B Score was smaller than 9.225?",3
"What is the A Score when the B Score is more than 9.05, and the total is less than 16.525?",0
"What is the position for Oleksandr Vorobiov ( ukr ), when the total was larger than 16.25?",0
"What is the total for Robert Stanescu ( rou ), when the B Score is larger than 8.75?",4
What is the average rank for Denmark?,5
"What's the number of bronze when they are ranked 29, had a total more than 3 and less than 2 golds?",3
What's the bronze medal count for Rank 33 when the silver count was less than 2 and the total was more than 4?,0
How many silver for rank 22 when gold count was more than 0 and Bronze count was less than 5?,3
What's the bronze count for South Africa (RSA) with a total more than 16?,3
"What was the lowest election result for President Leonardo Marras with an area smaller than 227,063 people?",2
What is the average election result for the province of Grosseto from 1766 and prior?,5
"What is the total number of all bills co-sponsored associated with all amendments sponsored under 15, all bills sponsored of 6, and 0 amendments cosponsored?",3
What is the fewest amendments sponsored associated with 150 bills originally cosponsored and over 247 bills cosponsored?,2
What is the highest number of bills cosponsored associated with under 24 bills sponsored and under 16 amendments sponsored?,1
What is the highest number of amendments cosponsored associated with 53 amendments originally cosponsored and over 54 bills sponsored?,1
What is the Lane of the swimmer from Uzbekistan in Heat 1?,3
With a parallel bars score of 14.625 what is the average total?,5
What is the Rank of the Athletes with a Time of 3:43.491?,0
What is the Rank of the Athletes from Ukraine?,0
What is the sum of the area in km with a population of 110 in 2011?,4
What is the average population in 2006 that has more than 5 people in 2011 and an area 5.84km?,5
What is the lowest lane with a 0.216 react?,2
What is the total rank for the lane before 2?,4
What is the earliest year that had the Legend of Zelda: Twilight Princess game?,2
"Which Debut year has a Player of noel carroll, and Games smaller than 12?",0
Which Goals have a Player of noel carroll?,0
"How many debut years have Years at club of 1950–1951, and Games larger than 14?",3
What was the earliest year of release for Peaches: Francine Barker with the wounded bird label?,2
What was the latest year of release for the greatest hits title?,1
what is the highest latitude when the township is kingsley and the geo id is higher than 3803942820?,1
what is the latitude when water (sqmi) is 0.058 and the ansi code is less than 1759683?,5
what is the geo id when the longitude is -98.435797 and the land (sqmi) is less than 36.039?,0
Name the lowest Year Joined which has a Mascot of pioneers?,2
What is the A score when the B score is more than 9.15 and the gymnast was in the 2nd position?,0
How many Heats have a Name of miguel molina?,3
What is the earliest heat with a finisher from the Czech Republic and a rank over 41?,2
What is the total number of heats with a finisher named Gregor Tait in lanes over 6?,3
"When the president was Yoweri Museveni, and the year was 1993, with rank of 6 under political rights, what was the total of civil liberties?",3
"What is the year average when not free was the status, and less than 7 was the civil liberties, and less than 6 political rights?",5
What is the least political rights rank in 1976?,2
Which episodes has the lowest average ratings of 8.7%?,0
"What is the total weeks with more 56,134 attendees against the minnesota vikings?",3
What year was the main role a character named Guan Yu (關羽)?,0
What is the year that has a character named Wu Ji Wei (無極威)?,0
Which Round has an Opponent of aleksandr pitchkounov?,0
"Mortlake club has more than 924 against, less than 14 losses, and how many total draws?",3
What is the total number of wins for Cobden club when there are more than 2 draws?,3
"When against is 797 and wins is more than 10, what is the sum of draws?",4
Club warrnambool has less than 9 wins and what average of draws?,5
What is the average number of draws for Mortlake club when they have less than 0 wins?,5
Which Foreign population has a Population (2004) larger than 234733?,0
Which Population (2004) has a Moroccan population larger than 234506?,0
What is the highest grid that has gregorio lavilla as the rider?,1
How many overs when there are 5231 runs and fewer than 37 matches?,3
What are the fewest wickets when player's career spanned 1946-1960 and maidens were more than 419?,2
What is the largest number of wickets when there are more than 630 maidens and a best of 7/72?,1
"What is the attendance in the game in the 2010-11 season, when the score was 2–0?",2
"What year were the Hoak Packers, Fresno, CA the 4th Place Team?",0
"What year was the 1st Place Team the Hoak Packers, Fresno, CA, and 4th Place was Wells Motors, Greeley, Co?",0
"What year was the 4th Place Team of the Wyoming Angus, Johnstown, Co?",0
How much Quantity has a Type of 1′c1′ h2t?,4
"what is the highest place when lost is more than 4, points is less than 18 and team is Team of atlético veragüense?",1
"what is the least lost when the place is higher than 4, goals scored is 12 and points is more than 4?",2
how many times is the team tauro and played less than 18?,3
what is the least played when points is 36 and place is more than 2?,2
what is the average points when goals conceded is 14 and goals scored is less than 32?,5
How many weeks in total has bye as the date?,3
What was the average pick made by the Texas Rangers?,5
What are the least losses of Mortlake having less than 970 against?,2
What's the total against when the draws are more than 0?,3
What's the total wins when the draws are less than 0?,3
What's the least against number for Cobden with draws more than 0?,2
What's the most against when the draws are more than 0?,1
What are the total wins when there are 1261 against?,3
What is the rank for China?,0
"What is the Week number on October 10, 1976?",0
"Which Rank has a Show of alcatraz, and a Number of Viewers larger than 1,229,000?",0
What is the lowest lane in the Czech Republic and a time larger than 21.05?,2
What is the highest lane with a rank larger than 2 in Guyana?,1
What is the sum rank of Solomon Bayoh when his time was smaller than 22.16?,4
what is the heat when the athlete is anita pistone?,0
"how many times is the rank more than 29, the athlete is barbara pierre and the heat less than 5?",3
What is the sum of matches played for teams with more than 10 losses and under 5 points?,4
"What is the total number of positions for teams with more than 5 points, 3 draws, and under 2 losses?",3
What is the average number of losses for teams with under 4 losses and under 21 points?,5
What is the most recent season for the Prema Powerteam with a Masters of Formula Three series?,1
Can you tell me the Total number of Rankthat has the Lane of 4?,3
"Can you tell me the lowest Rank that has the Nationality of australia, and the Name of leisel jones, and the Lane larger than 4?",2
What is the highest Against for a game against Bristol City?,1
What is the lowest rank has 7:09.06 as the time?,2
How many appearances did the player for the Rayo Vallecano club that scored more than 37 goals make?,3
"What is the average upper index MJ/Nm 3 for the upper index Kcal/Nm 3 entry of 19,376?",5
"What is the Upper index Kcal/ Nm 3 of iso-butane, and a Lower index MJ/ Nm 3 smaller than 84.71?",3
"What is the Lower index Kcal/ Nm 3 entry, for the row with entries of an Upper index Kcal/ Nm 3 smaller than 19,376, and a Lower index MJ/ Nm 3 of 74.54?",5
"What is the entry for Upper index Kcal/ Nm 3 for the row with an entry that has a Lower index MJ/ Nm 3 of 47.91, and an Upper index MJ/ Nm 3 larger than 53.28?",0
"What is the entry for Upper index Kcal/ Nm 3 for the row with an entry that has a Lower index MJ/ Nm 3 larger than 47.91, for propylene, and an Upper index MJ/ Nm 3 larger than 77.04?",0
"What is the entry for Lower index MJ/ Nm 3 for the row that has an Upper index Kcal/ Nm 3 larger than 19,376, for lpg, and an Upper index MJ/ Nm 3 smaller than 86.84?",0
What match number has a ground of H and the opponent Chelsea under 18s?,0
"What is the average 2006 metropolitan population of Lima with a GDP per capita over $13,100?",5
"What is the lowest 2006 metropolitan population for a Mexico City, Mexico with a GDP per capita of less than 20,300?",2
Who placed highest with a time of 1:47.70?,0
"How much Col (m) has an Elevation (m) smaller than 3,187, and a Prominence (m) smaller than 1,570?",4
"Which Elevation (m) has a Prominence (m) larger than 2,120, and a Peak of mount karisimbi, and a Col (m) larger than 1195?",0
"Which Prominence (m) has an Elevation (m) of 3,095?",0
Which episode was the last written by chris hawkshaw this season?,0
"What is the highest col for the prominence of 1,834 meters and elevation higher than 1,834 meters?",1
What is the greatest 2007 when the change 06-07 was 14.7%?,1
What is the Rank of the Swimmer in Lane 5?,0
What is the Rank of the swimmer with a Time of 49 in Lane 7 or larger?,0
What is the Lane of the swimmer with a Rank of 8?,0
"How many people attended the September 21, 1980 game?",5
"Which Doubles have a Total larger than 176, and a Date smaller than 1907, and Doubles, I Class smaller than 21?",0
"Which Total has a Date of 1602, and Greater Doubles smaller than 16?",0
